Materials,Fillers,Electrolyte Solution,Porosity and Uptake (%),Conductivity (S·cm−1) and Capacity (mAh·g−1),Main Goal/Achievement,Ref.
PVDF,NCC,1 M LiPF6 in EC/DMC (1:1),-/-,3.73 × 10−3 (25 °C)/-,Preparation of NCC-PVDF separators by phase inversion;Improved wettability and mechanical properties.,[73]
PVDF,MA groups,1 M LiPF6 in EC/DMC/EMC (1:1:1),67.4/-,1.48 × 10−3/136 (0.2C),Study of the addition of MA groups to the PVDF structure;High ionic conductivity.,[74]
PVDF,MMT,1 M LiPF6 in EC/EMC/DEC (1:1:1),84.08/333,4.20 × 10−3 (25 °C)/144,Effect of different contents of MMT filler in PVDF separators;High ionic conductivity and porosity.,[75]
PVDF,MOF-808,-,-/-,1.56 × 10−4 (65 °C)/-,Production of a MOF/polymer membrane;Good mechanical properties and durability.,[76]
PVDF,Octaphenyl-POSS,1 M LiPF6 in EC/DMC/EMC (1:1:1),66.1/912,4.2 × 10−3/145.8 (0.5C),"Electrospun membrane with octaphenyl-POSS particles;Increased uptake and porosity, high ionic conductivity.",[77]
PVDF,Polyether (PEGDA+PEGMEA),1 M LiPF6 in EC/DMC/EMC (1:1:1),-/230,~1.4 × 10−3 (25 °C)/93 (0.5C),Preparation of GPEs with PVDF and polyethers.,[78]
PVDF,PMIA,"1 M LiPF6 in EC/DMC/EMC (1:1:1, w:w:w)",-/-,8.1 × 10−4/135.29 (0.2C),"Composite sandwich type separator, by electrospinning;High capacity retention and good rate performance.",[79]
PVDF,P-PAEK,1 M LiPF6 in EC/DMC (1:1),71.7/123.7,/141.6 (C/2),Development of a P-PAEK/PVDF separatorHigh wettability and electrolyte uptake.,[80]
PVDF,PFSA,1 M LiPF6 in EC/DMC/EMC (1:1:1),-/-,1.53 × 10−3/137.9 (C),PVDF/PFSA blend membrane;High stability and discharge capacity.,[81]
PVDF,rGO,1 M LiTFSI + 0.1 M LiNO3 in DME/DOL (1:1),71/380,/646,Double-layer PVDF/rGO membrane by electrospinning; High safety and cycling stability.,[82]
PVDF,SiO2,1 M LiPF6 in EC/DMC/EMC (1:1:1),54.1/279.5,-/175.7,"Synthesis of a composite separator with SiO2;High wettability, uptake and thermal/mechanical stability.",[17]
PVDF,SiO2,1 M LiPF6 in EC/EMC (1:1 in volume),70/370,2.6 × 10−3/132 (C),Addition of SiO2 nanoparticles on PVDF membranes;Improvement of wettability and ionic conductivity.,[83]
PVDF,SiO2,"1 M LiPF6 in EC/DEC (1:1, v:v)",85/646,7.47 × 10−3/159 (0.2C),Electrospun PVDF/SiO2 composite separator;Excellent thermal stability and high ionic conductivity.,[84]
PVDF,SnO2,1 M LiPF6 in EC/DMC (1:1 w:w),-/-,-/-,Use of SnO2 nanoparticles in a PVDF electrospun separator;Good cycling performance.,[85]
PVDF,ZnO,1 M LiPF6 in EC/EMC (1:2),-/-,-/-,Piezo-separator for integration on a self-charging power cell;Enhanced electrochemical performance.,[86]
PVDF,ZnO,1 M LiPF6 in EC/DEC (1:1),-/-,-/-,Piezo-separator for self-charging power cells;Stable and efficient performance.,[87]
PVDF,ZrO2/PEO,1 M LiTFSI in DOL/DME (1:1),-/147.3,3.2 × 10−4 (25 °C)/1429 (0.2C),GPE for lithium-sulfur batteries;High discharge capacity and rate performance.,[88]
PVDF-HFP,Al2O3,0.5 M NaTf/EMITf,-/-,6.3–6.8 × 10−3 (25 °C)/-,Introduction of Al2O3 in a gel polymer electrolyte;Improved mechanical properties.,[14]
PVDF-HFP,Al2O3,1 M LiPF6 in EC/DEC +2% VC,-/372,1.3 × 10−3/155 (0.5C),Colloidal Al2O3 composite separator; enhancement of the mechanical strength of the PVDF-HFP separator.,[89]
PVDF-HFP,Al2O3,1 M LiPF6 in EC/DMC/EMC (v:v:v = 1:1:1),-/420,4.7 × 10−4/109 (4C),"Production of a low cost membrane, with a simple and easy scalable manufacturing process;High electrolyte uptake and good electrochemical stability and performance.",[90]
PVDF-HFP,Al(OH)3,"1.15 M LiPF6 in EC/EMC (3:7, v:v)",84/127,10−3/81 (C/2),Upgrading the battery safety operation by the addition of metal hydroxides in composite separators;Suitable electrolyte uptake.,[91]
PVDF-HFP,Al2O3/CMC,1 M LiPF6 in EC/DEC/PC/EMC (2:3:1:3),42.7/-,9.3 × 10−4 (25 °C)/-,Composite separator with Al2O3/CMC;Safer and more stable separators.,[92]
PVDF-HFP,BN,1 M LiPF6 in EC/DEC (1:1),-/-,-/150 (0.2C),3D separator; improved cycling stabilitywith lower voltage polarization,[93]
PVDF-HFP,CA,1 M LiPF6 in EC/DMC,85/310,1.89 × 10−3/136 (8C),Porous and honeycomb-structured membrane; higher lithium-ion transferencenumber and improved rate performance,[94]
PVDF-HFP,Clay,"1 M LiPF6 in EC/DEC/EMC (1:1:1, v:v:v)",-/-,1.49 × 10−3/-,"New technique to incorporate clay sheets in a PVDF-HFP matrix, as separator;Thermal stability and higher ionic conductivity.",[95]
PVDF-HFP,EMImNfO-LiNfO,-,-/-,3.92 × 10−4/(20 °C)57 (C),"Introduction of anion-based IL and lithium salt in a GPE;High thermal stability, good electrochemical properties.",[96]
PVDF-HFP,GO,1 M LiPF6 in EC/DEC/EMC (1:1:1),-/71,1.115 × 10−3 (25 °C)/-,Addition of GO in separators to increase thermal properties; improved electrochemical and mechanical properties.,[97]
PVDF-HFP,Graphene,1 M LiPF6 in EC/DMC/EMC (1:1:1),88/470,3.61 × 10−3/149 (C),"PVDF-HFP/graphene GPE by NIPS;Increased porosity, uptake and ionic conductivity.",[18]
PVDF-HFP,HMSS,1 M LiPF6 in EC/DEC (1:1),~70/285,2.57 × 10−3 (25 °C)/-,Development of PVDF-HFP with HMSS separators;Increased wettability and porosity.,[98]
PVDF-HFP,"Li1,3Al0,3Ti1,7(PO4)3",1 M LiTFSI + 0.25 M LiNO3 in DME/DOL (1:1),34/143.9,8.8 × 10−4 (25 °C)/1614,Ceramic/polymer membrane for lithium-sulfur cells;High ionic conductivity and discharge capacity.,[99]
PVDF-HFP,LiTSFI/SN,-,-/-,1.97 × 10−3 (20 °C)/-,Production of supercapacitors with GO electrodes and GPE;High ionic conductivity.,[100]
PVDF-HFP,LLTO,1 M LiPF6 in EC/DMC/EMC (1:1:1),69.8/497,13.897 × 10−3 (25 °C)/155.56,Incorporation of LLTO in a PVDF-HFP separator;Improved ionic conductivity.,[101]
PVDF-HFP,PI,1 M LiPF6 in EC/DMC (1:1),73/350,1.46 × 10−3/-,"Evaluation of a bicomponent electrospinning method to produce the separator,Good physical properties and improved electrochemical stability.",[102]
PVDF-HFP,PET/SiO2,1 M LiPF6 in EC/DEC (1:1),60/-,9.3 × 10−4/-,"Separator with an organized porous structure, with benefits for cell operation at high C-rates;Excellent cell performance.",[103]
PVDF-HFP,MgAl2O4,"1 M LiPF6 in EC:DEC (1:1, v:v)",-/-,2.80 × 10−3/140 (0.1C),Influence of different quantities of the MgAl2O4 filler in the membrane;Good ionic conductivity.,[104]
PVDF-HFP,MgAl2O4,"1 M LiPF6 in EC/DEC (1:1, w:w)",60/81,10−3 (30 °C)/140 (C/10),MgAl2O4 as filler of thin and flexible separator;Good thermal stability and stable cycling performance.,[105]
PVDF-HFP,Mg(OH)2,"1.15 M LiPF6 in EC/EMC (3:7, v:v)",64/115,8.08 × 10−4/105 (C/2),Upgrading the battery safety operation by the addition of metal hydroxides in composite separators;High thermal stability and good capacity retention.,[106]
PVDF-HFP,MMT,"1 M LiPF6 in EC/DEC (1:1, v:v)",40/251,9.01 × 10−4/105 (0.1C),Use of montmorillonite as filler;High thermal stability and stable cycling performance.,[107]
PVDF-HFP,NaA,"1 M LiPF6 in EC/DEC (1:1, v:v)",65/194,2.1 × 10−3/-,Separator with incorporation of NaA zeolite;Excellent thermal stability and wettability.,[108]
PVDF-HFP,NaAlO2,0.5 M NaTf/EMITf,-/-,5.5–6.5 × 10−3 (25 °C)/-,Introduction of NaAlO2 in a gel polymer electrolyte;Improved ionic conductivity.,[14]
PVDF-HFP,m-SBA15,1 M LiPF6 in EC/DEC (1:1),-/82.83,3.23 × 10−3/156 (0.1C),A PVDF-HFP composite membrane with m-SBA15 as filler;High coulomb efficiency.,[109]
PVDF-HFP,m-SBA15,1 M LiPF6 in EC/DEC (1:1),-/85.36,3.78 × 10−3/198.6 (0.1C),Effect of the addition of a silica filler on a PVDF-HFP composite matrix separator;High coulomb efficiency.,[110]
PVDF-HFP,OIL,1 M LiPF6 in EC/DEC (1:1),-/13,2 × 10−3 (25 °C)/141 (C),"Synthesis of OIL from a phenolic epoxy resin;Non-flammability, good cell performance.",[111]
PVDF-HFP,SiO2,1 M LiPF6 in EC/DMC (1:2),65.41/217,-/124.5 (C),Synthesis of dual asymmetric structure separators with SiO2 particles;High thermal stability and electrolyte uptake.,[16]
PVDF-HFP,SiO2,1 M LiPF6 in DMC/EMC/DC/VC (46.08:22.91:27.22:3.79),26.7/202,8.47 × 10−4 (25 °C)/154.4,Composite separator with SiO2;Improved thermal stability and cycling performance.,[112]
PVDF-HFP,TiO2,"1 M LiPF6 in EC/DMC/EMC (1:1:1, v:v:v)",58/330,3.45 × 10−3/122 (10C),Evaluation of the performance of a nanocomposite polymer membrane with addition of TiO2;Excellent electrochemical performance.,[85]
PVDF-HFP,ZrO2,1 M LiPF6 in EC/DEC (1:1),71/182,1.48 × 10−3 S·cm−1 (25 °C)/126.8 mAhg−1 (0.5C),"Preparation of ZrO2/PVDF-HFP by the dip-coating methodHigh wettability, ionic conductivity, and thermal resistance.",[113]
PVDF-HFP,ZrO2,1 M LiPF6 in EC/EMC (1:3),-/-,2.06 × 10−3 (25 °C)/149.7,Improvement of the electrochemical properties of a electrospun membraneHigh uptake and ionic conductivity.,[114]
PVDF-HFP,ZrO2,1 M LiPF6 in EC/DEC/DMC (1:1:1),87.53/351.2,3.2 × 10−4/646 (0.2C),Inorganic fibers as substrates to separators;High thermal stability and good mechanical properties.,[115]
PVDF-HFP,ZrO2,1 M LiPF6 in EC/DMC (1:1),60/160,10−3 (25 °C)/75 (C),Development of thin and flexible ZrO2 separatorsHigh porosity and thermal stability.,[116]
PVDF-HFP,ZrO2,1 M LiPF6 in EC/DMC (1:1),95.7/481,2.695 × 10−3 (25 °C)/-,Incorporation of ZrO2 in PVDF-HFP electrospun membranes;High ionic conductivity and cycling stability.,[117]
PVP/PVDF,Black carbon nanoparticles,6 M KOH,-/-,-/-,Production of separators for supercapacitor applicationsImproved thermal and mechanical properties.,[19]
PP/PVDF-HFP,PMMA,"1 M LiPF6 in EC/DMC (1:1, v:v)",77.9/212,1.57 × 10−3/138 (0.2C),Physical and electrochemical performances of a PP/PVDF-HFP/PMMA composite separator;Enhanced thermal stability and electrolyte uptake.,[52]
PP/PVDF-HFP,SiO2,"1 M LiPF6 in EC/DEC (1:1, v:v)",-/290,1.76 × 10−3/150 (0.2C),"PP/PVDF-HFP separator, with the inclusion of SiO2 nanoparticles;Favorable chemical stability and discharge capacity.",[118]
PI/PVDF-HFP,TiO2,"1 M LiPF6 in EC/DEC (1:1, v:v)",-/-,1.88 × 10−3/161 (0.5C),"Electrospun PI/PVDF-HFP membrane, with addition of TiO2 nanoparticles;Excellent electrochemical properties.",[119]
